Found 128247 hbonds.
donor 		 acceptor 	 occupancy
NH410862-Side-NZ 	 TIP32296-Side-OH2 	 0.10%
NH410862-Side-NZ 	 TIP35223-Side-OH2 	 0.10%
NH410878-Side-NZ 	 TIP39059-Side-OH2 	 0.10%
NH410853-Side-NZ 	 TIP310266-Side-OH2 	 0.05%
NH410853-Side-NZ 	 TIP31885-Side-OH2 	 0.05%
NH410853-Side-NZ 	 TIP310329-Side-OH2 	 0.05%
NH410860-Side-NZ 	 TIP39805-Side-OH2 	 0.05%
NH410860-Side-NZ 	 TIP31262-Side-OH2 	 0.10%
NH410860-Side-NZ 	 TIP3257-Side-OH2 	 0.05%
NH410873-Side-NZ 	 TIP31645-Side-OH2 	 0.05%
NH410870-Side-NZ 	 TIP31022-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP32615-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP34408-Side-OH2 	 0.10%
NH410851-Side-NZ 	 TIP3245-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP32917-Side-OH2 	 0.10%
NH410874-Side-NZ 	 TIP3450-Side-OH2 	 0.05%
NH410873-Side-NZ 	 TIP39730-Side-OH2 	 0.05%
NH410873-Side-NZ 	 TIP32807-Side-OH2 	 0.05%
NH410870-Side-NZ 	 TIP39608-Side-OH2 	 0.15%
NH410852-Side-NZ 	 TIP31806-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP31920-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP31810-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP32708-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP36182-Side-OH2 	 0.15%
NH410874-Side-NZ 	 TIP3542-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP34810-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP35406-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP34825-Side-OH2 	 0.05%
NH410858-Side-NZ 	 TIP3988-Side-OH2 	 0.05%
NH410858-Side-NZ 	 TIP33046-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP33948-Side-OH2 	 0.10%
NH410876-Side-NZ 	 TIP34802-Side-OH2 	 0.10%
NH410876-Side-NZ 	 TIP31275-Side-OH2 	 0.05%
NH410867-Side-NZ 	 TIP34359-Side-OH2 	 0.05%
NH410867-Side-NZ 	 TIP3239-Side-OH2 	 0.05%
NH410867-Side-NZ 	 TIP38621-Side-OH2 	 0.10%
NH410857-Side-NZ 	 TIP33292-Side-OH2 	 0.10%
NH410857-Side-NZ 	 TIP31412-Side-OH2 	 0.05%
NH410857-Side-NZ 	 TIP35503-Side-OH2 	 0.05%
NH410879-Side-NZ 	 TIP38538-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP33082-Side-OH2 	 0.10%
NH410865-Side-NZ 	 TIP38653-Side-OH2 	 0.05%
NH410861-Side-NZ 	 TIP33750-Side-OH2 	 0.05%
NH410861-Side-NZ 	 TIP35893-Side-OH2 	 0.10%
NH410881-Side-NZ 	 TIP37489-Side-OH2 	 0.05%
NH410865-Side-NZ 	 TIP36709-Side-OH2 	 0.05%
NH410865-Side-NZ 	 TIP33145-Side-OH2 	 0.10%
NH410865-Side-NZ 	 TIP38175-Side-OH2 	 0.10%
NH410881-Side-NZ 	 TIP39993-Side-OH2 	 0.05%
NH410881-Side-NZ 	 TIP35907-Side-OH2 	 0.15%
NH410866-Side-NZ 	 TIP38056-Side-OH2 	 0.05%
NH410866-Side-NZ 	 TIP32761-Side-OH2 	 0.15%
NH410856-Side-NZ 	 TIP310797-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP35865-Side-OH2 	 0.10%
NH410856-Side-NZ 	 TIP38981-Side-OH2 	 0.05%
NH410872-Side-NZ 	 TIP38062-Side-OH2 	 0.05%
NH410872-Side-NZ 	 TIP36754-Side-OH2 	 0.10%
NH410866-Side-NZ 	 TIP39290-Side-OH2 	 0.05%
NH410868-Side-NZ 	 TIP36630-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP36024-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP36021-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP38376-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP39984-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP32280-Side-OH2 	 0.10%
NH410859-Side-NZ 	 TIP310844-Side-OH2 	 0.05%
NH410869-Side-NZ 	 TIP36907-Side-OH2 	 0.15%
NH410869-Side-NZ 	 TIP37025-Side-OH2 	 0.05%
NH410869-Side-NZ 	 TIP34760-Side-OH2 	 0.10%
NH410859-Side-NZ 	 TIP310435-Side-OH2 	 0.15%
NH410855-Side-NZ 	 TIP39711-Side-OH2 	 0.10%
NH410855-Side-NZ 	 TIP33726-Side-OH2 	 0.05%
NH410855-Side-NZ 	 TIP39867-Side-OH2 	 0.10%
NH410855-Side-NZ 	 TIP37404-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP38322-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP38876-Side-OH2 	 0.10%
NH410854-Side-NZ 	 TIP38516-Side-OH2 	 0.05%
NH410871-Side-NZ 	 TIP32795-Side-OH2 	 0.05%
NH410871-Side-NZ 	 TIP310700-Side-OH2 	 0.10%
NH410875-Side-NZ 	 TIP39363-Side-OH2 	 0.10%
NH410860-Side-NZ 	 TIP36833-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP32808-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP33236-Side-OH2 	 0.15%
NH410862-Side-NZ 	 TIP34630-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP38356-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP3280-Side-OH2 	 0.10%
NH410851-Side-NZ 	 TIP31830-Side-OH2 	 0.15%
NH410862-Side-NZ 	 TIP37560-Side-OH2 	 0.05%
NH410878-Side-NZ 	 TIP31432-Side-OH2 	 0.05%
NH410878-Side-NZ 	 TIP33946-Side-OH2 	 0.15%
NH410867-Side-NZ 	 TIP35107-Side-OH2 	 0.05%
NH410873-Side-NZ 	 TIP38312-Side-OH2 	 0.10%
NH410870-Side-NZ 	 TIP310104-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP34223-Side-OH2 	 0.10%
NH410876-Side-NZ 	 TIP33728-Side-OH2 	 0.10%
NH410876-Side-NZ 	 TIP39410-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP38833-Side-OH2 	 0.10%
NH410852-Side-NZ 	 TIP3820-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP32736-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP34971-Side-OH2 	 0.10%
NH410874-Side-NZ 	 TIP310525-Side-OH2 	 0.05%
NH410867-Side-NZ 	 TIP36123-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP35010-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP31620-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP32925-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP32858-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP31361-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP31872-Side-OH2 	 0.10%
NH410857-Side-NZ 	 TIP3216-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP34734-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP35636-Side-OH2 	 0.15%
NH410857-Side-NZ 	 TIP34176-Side-OH2 	 0.10%
NH410857-Side-NZ 	 TIP34674-Side-OH2 	 0.05%
NH410861-Side-NZ 	 TIP33081-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP38645-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP395-Side-OH2 	 0.10%
NH410858-Side-NZ 	 TIP36604-Side-OH2 	 0.10%
NH410879-Side-NZ 	 TIP38993-Side-OH2 	 0.10%
NH410858-Side-NZ 	 TIP34143-Side-OH2 	 0.10%
NH410858-Side-NZ 	 TIP35381-Side-OH2 	 0.15%
NH410879-Side-NZ 	 TIP33011-Side-OH2 	 0.05%
NH410868-Side-NZ 	 TIP34915-Side-OH2 	 0.05%
NH410868-Side-NZ 	 TIP33828-Side-OH2 	 0.05%
NH410868-Side-NZ 	 TIP37338-Side-OH2 	 0.05%
NH410865-Side-NZ 	 TIP32333-Side-OH2 	 0.10%
NH410853-Side-NZ 	 TIP32191-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP37706-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP37360-Side-OH2 	 0.10%
NH410853-Side-NZ 	 TIP32592-Side-OH2 	 0.05%
NH410881-Side-NZ 	 TIP310176-Side-OH2 	 0.10%
NH410881-Side-NZ 	 TIP35938-Side-OH2 	 0.05%
NH410881-Side-NZ 	 TIP35445-Side-OH2 	 0.10%
NH410866-Side-NZ 	 TIP39381-Side-OH2 	 0.15%
NH410866-Side-NZ 	 TIP36399-Side-OH2 	 0.05%
NH410866-Side-NZ 	 TIP38433-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP31516-Side-OH2 	 0.10%
NH410856-Side-NZ 	 TIP33182-Side-OH2 	 0.05%
NH410869-Side-NZ 	 TIP36732-Side-OH2 	 0.05%
NH410859-Side-NZ 	 TIP33635-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP39568-Side-OH2 	 0.05%
NH410855-Side-NZ 	 TIP32367-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP38967-Side-OH2 	 0.10%
NH410864-Side-NZ 	 TIP37273-Side-OH2 	 0.05%
NH410855-Side-NZ 	 TIP310634-Side-OH2 	 0.10%
NH410855-Side-NZ 	 TIP35212-Side-OH2 	 0.05%
NH410855-Side-NZ 	 TIP34457-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP3383-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP38718-Side-OH2 	 0.10%
NH410872-Side-NZ 	 TIP37881-Side-OH2 	 0.10%
NH410872-Side-NZ 	 TIP31547-Side-OH2 	 0.05%
NH410871-Side-NZ 	 TIP31259-Side-OH2 	 0.05%
NH410871-Side-NZ 	 TIP36588-Side-OH2 	 0.10%
NH410867-Side-NZ 	 TIP31462-Side-OH2 	 0.15%
NH410867-Side-NZ 	 TIP33330-Side-OH2 	 0.10%
NH410867-Side-NZ 	 TIP34493-Side-OH2 	 0.05%
NH410862-Side-NZ 	 TIP37592-Side-OH2 	 0.10%
NH410862-Side-NZ 	 TIP389-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP32001-Side-OH2 	 0.15%
NH410878-Side-NZ 	 TIP33569-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP310818-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP3460-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP34568-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP31771-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP36506-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP3385-Side-OH2 	 0.10%
NH410878-Side-NZ 	 TIP39649-Side-OH2 	 0.10%
NH410876-Side-NZ 	 TIP32450-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP31022-Side-OH2 	 0.10%
NH410857-Side-NZ 	 TIP39138-Side-OH2 	 0.10%
NH410857-Side-NZ 	 TIP34947-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP34515-Side-OH2 	 0.10%
NH410874-Side-NZ 	 TIP37170-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP37298-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP310836-Side-OH2 	 0.10%
NH410870-Side-NZ 	 TIP34717-Side-OH2 	 0.15%
NH410870-Side-NZ 	 TIP35367-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP31968-Side-OH2 	 0.15%
NH410851-Side-NZ 	 TIP34601-Side-OH2 	 0.15%
NH410877-Side-NZ 	 TIP33675-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP34552-Side-OH2 	 0.05%
NH410873-Side-NZ 	 TIP36621-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP31809-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP35562-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP34520-Side-OH2 	 0.10%
NH410880-Side-NZ 	 TIP3726-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP35685-Side-OH2 	 0.20%
NH410881-Side-NZ 	 TIP35955-Side-OH2 	 0.05%
NH410861-Side-NZ 	 TIP38661-Side-OH2 	 0.10%
NH410863-Side-NZ 	 TIP38377-Side-OH2 	 0.10%
NH410881-Side-NZ 	 TIP39952-Side-OH2 	 0.15%
NH410881-Side-NZ 	 TIP37016-Side-OH2 	 0.05%
NH410858-Side-NZ 	 TIP38978-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP36702-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP37992-Side-OH2 	 0.10%
NH410866-Side-NZ 	 TIP37893-Side-OH2 	 0.05%
NH410868-Side-NZ 	 TIP3738-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP310361-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP35761-Side-OH2 	 0.05%
NH410869-Side-NZ 	 TIP310236-Side-OH2 	 0.10%
NH410869-Side-NZ 	 TIP34731-Side-OH2 	 0.05%
NH410869-Side-NZ 	 TIP39345-Side-OH2 	 0.05%
NH410869-Side-NZ 	 TIP36929-Side-OH2 	 0.10%
NH410853-Side-NZ 	 TIP37071-Side-OH2 	 0.05%
NH410853-Side-NZ 	 TIP39375-Side-OH2 	 0.05%
NH410853-Side-NZ 	 TIP310171-Side-OH2 	 0.05%
NH410853-Side-NZ 	 TIP34297-Side-OH2 	 0.05%
NH410866-Side-NZ 	 TIP33521-Side-OH2 	 0.05%
NH410865-Side-NZ 	 TIP37521-Side-OH2 	 0.10%
NH410865-Side-NZ 	 TIP310432-Side-OH2 	 0.10%
NH410859-Side-NZ 	 TIP37595-Side-OH2 	 0.10%
NH410859-Side-NZ 	 TIP31386-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP35981-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP36869-Side-OH2 	 0.10%
NH410879-Side-NZ 	 TIP38293-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP310119-Side-OH2 	 0.05%
NH410854-Side-NZ 	 TIP3261-Side-OH2 	 0.05%
NH410855-Side-NZ 	 TIP35161-Side-OH2 	 0.10%
NH410872-Side-NZ 	 TIP37661-Side-OH2 	 0.10%
NH410860-Side-NZ 	 TIP35048-Side-OH2 	 0.10%
NH410860-Side-NZ 	 TIP39631-Side-OH2 	 0.05%
NH410860-Side-NZ 	 TIP37409-Side-OH2 	 0.05%
NH410860-Side-NZ 	 TIP36148-Side-OH2 	 0.05%
NH410855-Side-NZ 	 TIP37187-Side-OH2 	 0.05%
NH410872-Side-NZ 	 TIP34270-Side-OH2 	 0.05%
NH410872-Side-NZ 	 TIP390-Side-OH2 	 0.05%
NH410871-Side-NZ 	 TIP36535-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP31648-Side-OH2 	 0.05%
NH410871-Side-NZ 	 TIP36035-Side-OH2 	 0.10%
NH410862-Side-NZ 	 TIP33966-Side-OH2 	 0.10%
NH410875-Side-NZ 	 TIP31283-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP34853-Side-OH2 	 0.05%
NH410875-Side-NZ 	 TIP33691-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP35190-Side-OH2 	 0.05%
NH410852-Side-NZ 	 TIP35667-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP39189-Side-OH2 	 0.05%
NH410864-Side-NZ 	 TIP33587-Side-OH2 	 0.10%
NH410852-Side-NZ 	 TIP31168-Side-OH2 	 0.10%
NH410878-Side-NZ 	 TIP36470-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP31888-Side-OH2 	 0.05%
NH410878-Side-NZ 	 TIP35633-Side-OH2 	 0.15%
NH410857-Side-NZ 	 TIP3108-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP37659-Side-OH2 	 0.05%
NH410877-Side-NZ 	 TIP310435-Side-OH2 	 0.10%
NH410867-Side-NZ 	 TIP31401-Side-OH2 	 0.05%
NH410867-Side-NZ 	 TIP35018-Side-OH2 	 0.10%
NH410861-Side-NZ 	 TIP34742-Side-OH2 	 0.10%
NH410861-Side-NZ 	 TIP34670-Side-OH2 	 0.10%
NH410861-Side-NZ 	 TIP35651-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP37759-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP33583-Side-OH2 	 0.05%
NH410876-Side-NZ 	 TIP38785-Side-OH2 	 0.05%
NH410857-Side-NZ 	 TIP31897-Side-OH2 	 0.10%
NH410870-Side-NZ 	 TIP32215-Side-OH2 	 0.05%
NH410870-Side-NZ 	 TIP32625-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP35071-Side-OH2 	 0.05%
NH410874-Side-NZ 	 TIP35412-Side-OH2 	 0.10%
NH410874-Side-NZ 	 TIP35719-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP344-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP33362-Side-OH2 	 0.10%
NH410873-Side-NZ 	 TIP32027-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP37110-Side-OH2 	 0.05%
NH410880-Side-NZ 	 TIP35646-Side-OH2 	 0.10%
NH410881-Side-NZ 	 TIP31925-Side-OH2 	 0.05%
NH410881-Side-NZ 	 TIP31985-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP34756-Side-OH2 	 0.05%
NH410851-Side-NZ 	 TIP3977-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP36710-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP36216-Side-OH2 	 0.10%
NH410858-Side-NZ 	 TIP36742-Side-OH2 	 0.05%
NH410863-Side-NZ 	 TIP34606-Side-OH2 	 0.10%
NH410863-Side-NZ 	 TIP310534-Side-OH2 	 0.05%
NH410868-Side-NZ 	 TIP35286-Side-OH2 	 0.10%
NH410868-Side-NZ 	 TIP310200-Side-OH2 	 0.10%
NH410856-Side-NZ 	 TIP33029-Side-OH2 	 0.05%
NH410856-Side-NZ 	 TIP33629-Side-OH2 	 0.10%
