Found 12075 hbonds.
donor 		 acceptor 	 occupancy
NH42023-Side 	 TIP376-Side 	 0.20%
NH42025-Side 	 TIP31689-Side 	 0.16%
NH42028-Side 	 TIP31113-Side 	 0.08%
NH42028-Side 	 TIP31835-Side 	 0.12%
NH42028-Side 	 TIP3197-Side 	 0.10%
NH42024-Side 	 TIP3290-Side 	 0.12%
NH42024-Side 	 TIP31874-Side 	 0.18%
NH42024-Side 	 TIP31921-Side 	 0.22%
NH42027-Side 	 TIP31621-Side 	 0.14%
NH42027-Side 	 TIP3751-Side 	 0.10%
NH42027-Side 	 TIP3599-Side 	 0.14%
NH42026-Side 	 TIP3595-Side 	 0.18%
NH42027-Side 	 TIP31105-Side 	 0.10%
NH42027-Side 	 TIP3507-Side 	 0.18%
NH42027-Side 	 TIP31018-Side 	 0.18%
NH42025-Side 	 TIP31144-Side 	 0.08%
NH42025-Side 	 TIP31996-Side 	 0.10%
NH42025-Side 	 TIP31066-Side 	 0.10%
NH42023-Side 	 TIP31942-Side 	 0.10%
NH42024-Side 	 TIP31135-Side 	 0.10%
NH42024-Side 	 TIP3985-Side 	 0.14%
NH42024-Side 	 TIP31388-Side 	 0.14%
NH42028-Side 	 TIP3820-Side 	 0.14%
NH42028-Side 	 TIP31383-Side 	 0.14%
NH42026-Side 	 TIP31246-Side 	 0.16%
NH42028-Side 	 TIP31029-Side 	 0.18%
NH42028-Side 	 TIP358-Side 	 0.14%
NH42028-Side 	 TIP3436-Side 	 0.12%
NH42024-Side 	 TIP31948-Side 	 0.14%
NH42023-Side 	 TIP360-Side 	 0.08%
NH42023-Side 	 TIP31279-Side 	 0.16%
NH42023-Side 	 TIP3439-Side 	 0.18%
NH42024-Side 	 TIP31602-Side 	 0.12%
NH42025-Side 	 TIP31127-Side 	 0.10%
NH42025-Side 	 TIP3818-Side 	 0.06%
NH42026-Side 	 TIP3628-Side 	 0.08%
NH42026-Side 	 TIP31850-Side 	 0.10%
NH42025-Side 	 TIP31020-Side 	 0.08%
NH42025-Side 	 TIP3808-Side 	 0.12%
NH42027-Side 	 TIP3236-Side 	 0.12%
NH42028-Side 	 TIP3677-Side 	 0.08%
NH42023-Side 	 TIP3427-Side 	 0.16%
NH42023-Side 	 TIP31767-Side 	 0.12%
NH42023-Side 	 TIP31152-Side 	 0.12%
NH42024-Side 	 TIP3317-Side 	 0.08%
NH42026-Side 	 TIP31604-Side 	 0.16%
NH42026-Side 	 TIP31584-Side 	 0.02%
NH42024-Side 	 TIP32019-Side 	 0.20%
NH42024-Side 	 TIP3471-Side 	 0.08%
NH42024-Side 	 TIP3335-Side 	 0.06%
NH42023-Side 	 TIP3923-Side 	 0.20%
NH42025-Side 	 TIP31746-Side 	 0.16%
NH42025-Side 	 TIP31587-Side 	 0.10%
NH42025-Side 	 TIP31592-Side 	 0.12%
NH42025-Side 	 TIP31840-Side 	 0.16%
NH42027-Side 	 TIP3453-Side 	 0.14%
NH42028-Side 	 TIP31747-Side 	 0.10%
NH42028-Side 	 TIP31880-Side 	 0.06%
NH42027-Side 	 TIP3881-Side 	 0.22%
NH42027-Side 	 TIP3219-Side 	 0.22%
NH42027-Side 	 TIP3972-Side 	 0.10%
NH42024-Side 	 TIP3768-Side 	 0.12%
NH42024-Side 	 TIP3283-Side 	 0.08%
NH42024-Side 	 TIP31046-Side 	 0.10%
NH42024-Side 	 TIP31211-Side 	 0.10%
NH42023-Side 	 TIP31854-Side 	 0.14%
NH42023-Side 	 TIP31372-Side 	 0.10%
NH42025-Side 	 TIP31104-Side 	 0.10%
NH42025-Side 	 TIP31431-Side 	 0.22%
NH42028-Side 	 TIP3987-Side 	 0.16%
NH42028-Side 	 TIP3431-Side 	 0.10%
NH42026-Side 	 TIP31178-Side 	 0.08%
NH42026-Side 	 TIP31227-Side 	 0.08%
NH42027-Side 	 TIP31608-Side 	 0.18%
NH42027-Side 	 TIP31419-Side 	 0.12%
NH42026-Side 	 TIP3292-Side 	 0.08%
NH42026-Side 	 TIP31008-Side 	 0.12%
NH42026-Side 	 TIP347-Side 	 0.20%
NH42028-Side 	 TIP31833-Side 	 0.10%
NH42028-Side 	 TIP31014-Side 	 0.08%
NH42023-Side 	 TIP3513-Side 	 0.08%
NH42025-Side 	 TIP3790-Side 	 0.18%
NH42024-Side 	 TIP31041-Side 	 0.08%
NH42025-Side 	 TIP3858-Side 	 0.12%
NH42025-Side 	 TIP31760-Side 	 0.14%
NH42027-Side 	 TIP31356-Side 	 0.12%
NH42027-Side 	 TIP31028-Side 	 0.08%
NH42023-Side 	 TIP3702-Side 	 0.10%
NH42023-Side 	 TIP31052-Side 	 0.16%
NH42026-Side 	 TIP3736-Side 	 0.20%
NH42026-Side 	 TIP3597-Side 	 0.08%
NH42024-Side 	 TIP3313-Side 	 0.14%
NH42026-Side 	 TIP3103-Side 	 0.16%
NH42026-Side 	 TIP3276-Side 	 0.22%
NH42024-Side 	 TIP3726-Side 	 0.18%
NH42024-Side 	 TIP31866-Side 	 0.12%
NH42024-Side 	 TIP31605-Side 	 0.12%
NH42024-Side 	 TIP31848-Side 	 0.10%
NH42024-Side 	 TIP3944-Side 	 0.10%
NH42026-Side 	 TIP31923-Side 	 0.08%
NH42027-Side 	 TIP3835-Side 	 0.16%
NH42025-Side 	 TIP3714-Side 	 0.18%
NH42025-Side 	 TIP3340-Side 	 0.10%
NH42025-Side 	 TIP3373-Side 	 0.14%
NH42025-Side 	 TIP3912-Side 	 0.10%
NH42028-Side 	 TIP3814-Side 	 0.14%
NH42023-Side 	 TIP3650-Side 	 0.08%
NH42023-Side 	 TIP31846-Side 	 0.16%
NH42028-Side 	 TIP3826-Side 	 0.10%
NH42027-Side 	 TIP3865-Side 	 0.14%
NH42027-Side 	 TIP3772-Side 	 0.14%
NH42027-Side 	 TIP3199-Side 	 0.12%
NH42027-Side 	 TIP3790-Side 	 0.04%
NH42028-Side 	 TIP3895-Side 	 0.18%
NH42028-Side 	 TIP31610-Side 	 0.16%
NH42028-Side 	 TIP3528-Side 	 0.08%
NH42025-Side 	 TIP31456-Side 	 0.12%
NH42024-Side 	 TIP31577-Side 	 0.22%
NH42024-Side 	 TIP31510-Side 	 0.10%
NH42024-Side 	 TIP3505-Side 	 0.16%
NH42023-Side 	 TIP31981-Side 	 0.14%
NH42026-Side 	 TIP31743-Side 	 0.18%
NH42024-Side 	 TIP31804-Side 	 0.10%
NH42024-Side 	 TIP31731-Side 	 0.10%
NH42024-Side 	 TIP3783-Side 	 0.14%
NH42025-Side 	 TIP3901-Side 	 0.10%
NH42027-Side 	 TIP31058-Side 	 0.10%
NH42023-Side 	 TIP31736-Side 	 0.14%
NH42023-Side 	 TIP3745-Side 	 0.12%
NH42026-Side 	 TIP3998-Side 	 0.14%
NH42026-Side 	 TIP3982-Side 	 0.16%
NH42024-Side 	 TIP3834-Side 	 0.06%
NH42024-Side 	 TIP3941-Side 	 0.14%
NH42023-Side 	 TIP3747-Side 	 0.08%
NH42023-Side 	 TIP31019-Side 	 0.10%
NH42027-Side 	 TIP31265-Side 	 0.10%
NH42028-Side 	 TIP315-Side 	 0.08%
NH42028-Side 	 TIP3220-Side 	 0.10%
NH42028-Side 	 TIP3776-Side 	 0.08%
NH42026-Side 	 TIP31194-Side 	 0.26%
NH42026-Side 	 TIP31324-Side 	 0.04%
NH42023-Side 	 TIP31599-Side 	 0.08%
