1 1 26.2227783203125 4 3 0 0 0 0 3 0 0 11 8 0
1 1 26.142784118652344 3 3 0 0 0 0 3 0 0 12 9 0
1 1 24.132781982421875 3 3 0 0 0 0 3 0 0 11 8 0
1 1 26.502784729003906 3 3 0 0 0 0 3 0 0 10 7 0
1 1 26.692787170410156 3 3 0 0 0 0 3 0 0 11 8 0
1 1 26.372779846191406 2 3 0 0 0 0 3 0 0 12 9 0
1 1 41.43278503417969 7 3 0 0 0 0 0 0 0 0 0 0
1 1 20.572784423828125 6 3 0 0 0 0 0 0 0 3 3 0
1 1 42.87278747558594 6 3 0 0 0 0 0 0 0 0 0 0
1 1 27.992782592773438 4 3 0 0 0 0 0 0 0 6 6 0
1 1 -33.22721862792969 5 3 0 0 0 0 0 0 0 0 0 0
1 1 43.23278045654297 6 3 0 0 0 0 0 0 0 0 0 0
1 1 40.102783203125 5 3 0 0 0 0 0 0 0 0 0 0
1 1 30.462783813476563 6 3 0 0 0 0 0 0 0 1 1 0
1 1 -32.377220153808594 9 3 0 0 0 0 0 0 0 0 0 0
1 1 29.272781372070313 5 3 0 0 0 0 1 0 0 3 2 0
1 1 38.55278778076172 6 3 0 0 0 0 0 0 0 0 0 0
1 1 24.172775268554688 5 3 0 0 0 0 0 0 0 5 5 0
1 1 -15.187217712402344 8 3 0 0 0 0 0 0 0 4 4 0
1 1 26.432785034179688 5 3 0 0 0 0 1 0 0 2 1 0
1 1 37.18278503417969 6 3 0 0 0 0 0 0 0 0 0 0
1 1 40.582786560058594 6 3 0 0 0 0 0 0 0 0 0 0
1 1 27.462783813476563 3 3 0 0 0 0 1 0 0 8 7 0
1 1 -23.947219848632813 7 3 0 0 0 0 0 0 0 0 0 0
1 1 36.29278564453125 4 3 0 0 0 0 0 0 0 0 0 0
1 1 -26.417219161987305 8 3 0 0 0 0 0 0 0 0 0 0
2 1 26.313751220703125 1 3 0 0 0 0 3 0 0 11 8 0
2 1 27.72374725341797 1 3 0 0 0 0 3 0 0 13 10 0
2 1 25.573745727539063 4 3 0 0 0 0 3 0 0 10 7 0
2 1 27.233749389648438 4 3 0 0 0 0 3 0 0 12 9 0
2 1 26.893753051757813 1 3 0 0 0 0 3 0 0 12 9 0
2 1 26.683746337890625 3 3 0 0 0 0 3 0 0 10 7 0
2 1 21.89374542236328 6 3 0 0 0 0 0 0 0 0 0 0
2 1 30.503746032714844 6 3 0 0 0 0 0 0 0 3 3 0
2 1 46.40374755859375 10 3 0 0 0 0 0 0 0 0 0 0
2 1 38.443748474121094 8 3 0 0 0 0 0 0 0 0 0 0
2 1 32.95375061035156 5 3 0 0 0 0 0 0 0 0 0 0
2 1 -30.46625518798828 7 3 0 0 0 0 0 0 0 0 0 0
2 1 29.943748474121094 4 3 0 0 0 0 1 0 0 2 1 0
2 1 25.303749084472656 7 3 0 0 0 0 0 0 0 0 0 0
2 1 -18.18625259399414 4 3 0 0 0 0 0 0 0 0 0 0
2 1 31.883750915527344 6 3 0 0 0 0 1 0 0 4 3 0
2 1 42.33374786376953 7 3 0 0 0 0 0 0 0 0 0 0
2 1 27.9737548828125 4 3 0 0 0 0 1 0 0 6 5 0
2 1 33.053741455078125 6 3 0 0 0 0 0 0 0 0 0 0
2 1 43.053741455078125 6 3 0 0 0 0 0 0 0 0 0 0
2 1 29.233749389648438 2 3 0 0 0 0 1 0 0 4 3 0
2 1 -25.62625503540039 6 3 0 0 0 0 0 0 0 0 0 0
2 1 -34.746253967285156 8 3 0 0 0 0 0 0 0 0 0 0
3 1 26.186248779296875 3 3 0 0 0 0 3 0 0 11 8 0
3 1 26.926254272460938 2 3 0 0 0 0 3 0 0 10 7 0
